-[ RECORD 1 ]----+----------------------------
db               | cicgroup
tbloat           | 0
wastedpages      | 0
wastedbytes      | 0
wastedsize       | 0 bytes
iname            | pg_cast_source_target_index
itups            | 380
ipages           | 4
iotta            | 2
ibloat           | 2
wastedipages     | 2
wastedibytes     | 16384
wastedisize      | 16384 bytes
totalwastedbytes | 16384
-[ RECORD 3 ]----+----------------------------
db               | vastbase
schemaname       | pg_catalog
tablename        | pg_amproc
tups             | 418
pages            | 4
otta             | 3
tbloat           | 1.3
wastedpages      | 1
wastedbytes      | 8192
wastedsize       | 8192 bytes
iname            | pg_amproc_oid_index
itups            | 418
ipages           | 4
iotta            | 2
ibloat           | 2
wastedipages     | 2
wastedibytes     | 16384
wastedisize      | 16384 bytes
totalwastedbytes | 24576
-[ RECORD 4 ]----+----------------------------
db               | vastbase
schemaname       | pg_catalog
tablename        | pg_ts_config_map
tups             | 316
pages            | 2
otta             | 2
tbloat           | 0
wastedpages      | 0
wastedbytes      | 0
wastedsize       | 0 bytes
iname            | pg_ts_config_map_index
itups            | 316
ipages           | 4
iotta            | 2
ibloat           | 2
wastedipages     | 2
wastedibytes     | 16384
wastedisize      | 16384 bytes
totalwastedbytes | 16384
-[ RECORD 5 ]----+----------------------------
db               | vastbase
schemaname       | pg_catalog
tablename        | pg_cast
tups             | 380
pages            | 3
otta             | 3
tbloat           | 0
wastedpages      | 0
wastedbytes      | 0
wastedsize       | 0 bytes
iname            | pg_cast_oid_index
itups            | 380
ipages           | 4
iotta            | 2
ibloat           | 2
wastedipages     | 2
wastedibytes     | 16384
wastedisize      | 16384 bytes
totalwastedbytes | 16384

-[ RECORD 1 ]----+----------------------------
db               | postgres
schemaname       | pg_catalog
tablename        | pg_amproc
tups             | 418
pages            | 4
otta             | 3
tbloat           | 1.3
wastedpages      | 1
wastedbytes      | 8192
wastedsize       | 8192 bytes
iname            | pg_amproc_fam_proc_index
itups            | 418
ipages           | 4
iotta            | 2
ibloat           | 2
wastedipages     | 2
wastedibytes     | 16384
wastedisize      | 16384 bytes
totalwastedbytes | 24576
-[ RECORD 2 ]----+----------------------------
db               | postgres
schemaname       | pg_catalog
tablename        | pg_cast
tups             | 380
pages            | 3
otta             | 3
tbloat           | 0
wastedpages      | 0
wastedbytes      | 0
wastedsize       | 0 bytes
iname            | pg_cast_source_target_index
itups            | 380
ipages           | 4
iotta            | 2
ibloat           | 2
wastedipages     | 2
wastedibytes     | 16384
wastedisize      | 16384 bytes
totalwastedbytes | 16384
-[ RECORD 3 ]----+----------------------------
db               | postgres
schemaname       | pg_catalog
tablename        | pg_amproc
tups             | 418
pages            | 4
otta             | 3
tbloat           | 1.3
wastedpages      | 1
wastedbytes      | 8192
wastedsize       | 8192 bytes
iname            | pg_amproc_oid_index
itups            | 418
ipages           | 4
iotta            | 2
ibloat           | 2
wastedipages     | 2
wastedibytes     | 16384
wastedisize      | 16384 bytes
totalwastedbytes | 24576
-[ RECORD 4 ]----+----------------------------
db               | postgres
schemaname       | pg_catalog
tablename        | pg_ts_config_map
tups             | 316
pages            | 2
otta             | 2
tbloat           | 0
wastedpages      | 0
wastedbytes      | 0
wastedsize       | 0 bytes
iname            | pg_ts_config_map_index
itups            | 316
ipages           | 4
iotta            | 2
ibloat           | 2
wastedipages     | 2
wastedibytes     | 16384
wastedisize      | 16384 bytes
totalwastedbytes | 16384
-[ RECORD 5 ]----+----------------------------
db               | postgres
schemaname       | pg_catalog
tablename        | pg_cast
tups             | 380
pages            | 3
otta             | 3
tbloat           | 0
wastedpages      | 0
wastedbytes      | 0
wastedsize       | 0 bytes
iname            | pg_cast_oid_index
itups            | 380
ipages           | 4
iotta            | 2
ibloat           | 2
wastedipages     | 2
wastedibytes     | 16384
wastedisize      | 16384 bytes
totalwastedbytes | 16384

